,,std dev,4109.218385,327.9817544,963.014936,154.6498349,221.4606668,14.13578001,4.727562647
,,avg,2576.444444,353.7460317,642.4444444,118.2380952,124.4126984,15.95238095,6.15218386
,unique vehicle type,num veh,days WIP total,days WIP per veh,hours worked,hours per vehicle,Work Orders,Work Orders per vehicle,avg hours per work order
16,EV0B40,11,18382,1671,4774,434,865,78,5.564102564
33,EV0B16,109,23131,212,3900,35,1461,13,2.692307692
49,EV0B26,4,4228,1057,2748,687,209,52,13.21153846
38,EV0D65,5,4386,877,2505,501,162,32,15.65625
17,EV0D75,5,3964,792,2277,455,128,25,18.2
39,EV0017,76,12939,170,2016,26,394,5,5.2
14,EV0D80,5,4007,801,1809,361,170,34,10.61764706
18,EV0B22,16,4783,298,1799,112,195,12,9.333333333
45,EV0E75,15,5331,355,1608,107,350,23,4.652173913
7,EV0B44,6,4255,709,1482,247,193,32,7.71875
5,EV0E76,6,4340,723,1468,244,186,31,7.870967742
15,EV0B46,3,3261,1087,1306,435,101,33,13.18181818
2,EV0A80,45,6937,154,1080,24,448,9,2.666666667
37,EV0B29,2,1593,796,1042,521,80,40,13.025
10,EV0A71,36,8553,237,975,27,251,6,4.5
3,EV0B45,8,2782,347,844,105,158,19,5.526315789
51,EV0A05,13,3607,277,744,57,296,22,2.590909091
35,EV0A30,2,1995,997,655,327,77,38,8.605263158
41,EV0015,30,4891,163,591,19,225,7,2.714285714
42,EV0F87,4,1396,349,501,125,85,21,5.952380952
30,EV0E70,11,2007,182,498,45,90,8,5.625
23,EV0A25,3,1342,447,481,160,107,35,4.571428571
40,EV0C47,11,1795,163,449,40,128,11,3.636363636
21,EV0B34,18,2483,137,432,24,179,9,2.666666667
8,EV0C48,3,1856,618,373,124,67,22,5.636363636
47,EV0001,17,3020,177,361,21,130,7,3
1,EV0B27,1,502,502,351,351,18,18,19.5
20,EV0A06,4,1017,254,273,68,91,22,3.090909091
29,EV0352,2,672,336,243,121,23,11,11
34,EV0F62,13,2092,160,230,17,72,5,3.4
12,EV0B30,1,236,236,224,224,11,11,20.36363636
24,EV0B51,1,213,213,174,174,37,37,4.702702703
60,EV0E80,7,853,121,172,24,65,9,2.666666667
52,EV0E65,1,184,184,146,146,10,10,14.6
27,EV0D60,2,498,249,146,73,27,13,5.615384615
0,EV0C38,1,239,239,140,140,15,15,9.333333333
44,EV0B08,11,1227,111,139,12,64,5,2.4
19,EV0B38,1,259,259,135,135,18,18,7.5
11,EV0B14,4,462,115,131,32,46,11,2.909090909
46,EV0B48,5,910,182,129,25,54,10,2.5
43,EV0B50,4,1237,309,122,30,16,4,7.5
22,EV0B59,13,3530,271,116,8,146,11,0.727272727
48,EV0F63,5,509,101,90,18,29,5,3.6
4,EV0801,1,997,997,90,90,34,34,2.647058824
31,EV0E90,1,593,593,88,88,20,20,4.4
54,EV0B96,9,5295,588,80,8,168,18,0.444444444
13,EV0C42,1,335,335,74,74,10,10,7.4
32,EV0F81,2,242,121,63,31,18,9,3.444444444
36,EV0F80,2,707,353,62,31,14,7,4.428571429
9,EV0B54,2,34,17,54,27,4,2,13.5
28,EV0B52,1,313,313,54,54,7,7,7.714285714
53,EV0C16,1,101,101,48,48,7,7,6.857142857
50,EV0D62,1,176,176,37,37,13,13,2.846153846
25,EV0D96,1,367,367,28,28,8,8,3.5
55,EV0C96,4,336,84,25,6,15,3,2
62,EV0C17,1,281,281,24,24,9,9,2.666666667
61,EV0F65,2,163,81,24,12,15,7,1.714285714
59,EV0014,2,266,133,16,8,8,4,2
56,EV0006,2,195,97,12,6,6,3,2
6,EV0F95,1,11,11,8,8,1,1,8
26,EV0B36,1,0,0,4,4,1,1,4
58,EV0B97,1,0,0,4,4,2,2,2
57,EV0J44,1,0,0,0,0,1,1,0
